FeatureType,date,IMONum,deaths,missings,severeInjuries,description,latitude,longitude,subtype_field,subtype_value,gml_pos
HullAndEngineAccessoryDamage,20240815,대양호,0,0,0,어선 대양호 기관손상사건,36.3997,126.4831,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.4831 36.3997
FloodingAndSinking,20240812,대동호,0,0,0,어선 대동호 침수사건,37.4558,126.6008,floodingAndSinkingType,flooding,126.6008 37.4558
CollisionAndContact,20240815,창성호,0,0,0,어선 창성호 부유물감김사건,37.3333,126.3167,collisionAndContactType,floating object entanglement,126.3167 37.3333
CollisionAndContact,20240815,88해성호,0,0,0,어선 88해성호 부유물감김사건,35.8833,125.9167,collisionAndContactType,floating object entanglement,125.9167 35.8833
CollisionAndContact,20240819,제21성영호,0,0,0,어선 제21성영호 부유물감김사건,36.1236,126.0303,collisionAndContactType,floating object entanglement,126.0303 36.1236
HullAndEngineAccessoryDamage,20240823,씨존9호,0,0,0,"모터보트 청아2호, 모터보트 씨존9호 기관손상사건",37.4964,126.3861,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.3861 37.4964
HullAndEngineAccessoryDamage,20240823,청아2호,0,0,0,"모터보트 청아2호, 모터보트 씨존9호 기관손상사건",37.4964,126.3861,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.3861 37.4964
FloodingAndSinking,20240821,유수호,0,0,0,어선 복성호 등 2척 침몰사건,37.5847,126.5261,floodingAndSinkingType,sinking,126.5261 37.5847
FloodingAndSinking,20240821,복성호,0,0,0,어선 복성호 등 2척 침몰사건,37.5847,126.5261,floodingAndSinkingType,sinking,126.5261 37.5847
FloodingAndSinking,20240821,신천호,0,0,0,어선 복성호 등 2척 침몰사건,37.5847,126.5261,floodingAndSinkingType,sinking,126.5261 37.5847
OtherIncident,20240819,DL LOTUS,0,0,0,액화석유가스운반선 디엘 로터스 해양오염사건,37.0481,126.3717,otherIncidentType,other incident,126.3717 37.0481
CollisionAndContact,20240726,관광호,0,0,0,"도선 관광호, 어선 바다사랑호 충돌사건",37.0228,126.4536,collisionAndContactType,collision,126.4536 37.0228
